"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afbfa","Burkina Faso","bfa",226.99999999999997
"af","Africa","afbwa","Botswana","bwa",2043.0000000000002
"af","Africa","afciv","Cote d'Ivoire","civ",1784
"af","Africa","afcog","Republic of the Congo","cog",2531
"af","Africa","afdza","Algeria","dza",15432463312
"af","Africa","afegy","Egypt","egy",203350793
"af","Africa","afgab","Gabon","gab",496
"af","Africa","afgha","Ghana","gha",5
"af","Africa","aflby","Libya","lby",1171695160.9999998
"af","Africa","afmoz","Mozambique","moz",2111613
"af","Africa","afmrt","Mauritania","mrt",6042.999999999999
"af","Africa","afnam","Namibia","nam",91
"af","Africa","afnga","Nigeria","nga",46076503
"af","Africa","afsen","Senegal","sen",9471
"af","Africa","afswz","Eswatini","swz",1544
"af","Africa","aftgo","Togo","tgo",6758.999999999999
"af","Africa","aftun","Tunisia","tun",52.00000000000001
"af","Africa","aftza","Tanzania","tza",15044
"af","Africa","afzaf","South Africa","zaf",690448
"af","Africa","afzwe","Zimbabwe","zwe",49
"as","Asia","asare","United Arab Emirates","are",66369
"as","Asia","asaze","Azerbaijan","aze",10192471264
"as","Asia","asbhr","Bahrain","bhr",50
"as","Asia","asbrn","Brunei","brn",392750
"as","Asia","aschn","China","chn",2145662707.9999998
"as","Asia","ashkg","Hong Kong","hkg",52302
"as","Asia","asidn","Indonesia","idn",1720846481.9999998
"as","Asia","asind","India","ind",25698
"as","Asia","asirn","Iran","irn",61309950
"as","Asia","asisr","Israel","isr",15231
"as","Asia","asjor","Jordan","jor",5
"as","Asia","asjpn","Japan","jpn",210267
"as","Asia","askaz","Kazakhstan","kaz",1597212015
"as","Asia","askor","South Korea","kor",18084.999999999996
"as","Asia","asmmr","Burma","mmr",3151764657
"as","Asia","asmys","Malaysia","mys",772515504
"as","Asia","asomn","Oman","omn",81
"as","Asia","asqat","Qatar","qat",179450303
"as","Asia","assgp","Singapore","sgp",111489
"as","Asia","astha","Thailand","tha",3710012
"as","Asia","astkm","Turkmenistan","tkm",10872179956.999998
"as","Asia","astur","Turkey","tur",111359960
"as","Asia","asuzb","Uzbekistan","uzb",529194705
"eu","Europe","ascyp","Cyprus","cyp",2777571
"eu","Europe","eualb","Albania","alb",12218
"eu","Europe","euaut","Austria","aut",986741877
"eu","Europe","eubel","Belgium","bel",33298695315
"eu","Europe","eubgr","Bulgaria","bgr",1327314609
"eu","Europe","eubih","Bosnia and Herzegovina","bih",1293522
"eu","Europe","euche","Switzerland","che",523979805
"eu","Europe","eucze","Czechia","cze",23205905
"eu","Europe","eudeu","Germany","deu",1489218074
"eu","Europe","eudnk","Denmark","dnk",236090994
"eu","Europe","euesp","Spain","esp",3200831639
"eu","Europe","euest","Estonia","est",90066079.00000001
"eu","Europe","eufin","Finland","fin",276226268
"eu","Europe","eufra","France","fra",12297131982
"eu","Europe","eugbr","United Kingdom","gbr",7667438028
"eu","Europe","eugrc","Greece","grc",400513294
"eu","Europe","euhrv","Croatia","hrv",133789391.99999999
"eu","Europe","euhun","Hungary","hun",344193094
"eu","Europe","euirl","Ireland","irl",1068748
"eu","Europe","euita","Italy","ita",957029348
"eu","Europe","eultu","Lithuania","ltu",250023139
"eu","Europe","eulux","Luxembourg","lux",46736278
"eu","Europe","eulva","Latvia","lva",448229806
"eu","Europe","eumkd","North Macedonia","mkd",188226.00000000003
"eu","Europe","eunld","Netherlands","nld",3469457373
"eu","Europe","eunor","Norway","nor",66462922689
"eu","Europe","eupol","Poland","pol",154741606
"eu","Europe","euprt","Portugal","prt",32910811
"eu","Europe","eurou","Romania","rou",358140646
"eu","Europe","eurus","Russia","rus",18675475980
"eu","Europe","eusrb","Serbia","srb",64560396
"eu","Europe","eusvk","Slovakia","svk",234189478
"eu","Europe","eusvn","Slovenia","svn",99156697
"eu","Europe","euswe","Sweden","swe",282
"eu","Europe","euukr","Ukraine","ukr",366216302
"na","North America","nacan","Canada","can",11740686846
"na","North America","namex","Mexico","mex",4978160
"na","North America","nausa","United States","usa",9478121574
"oc","Oceania","ocasm","American Samoa","asm",541
"oc","Oceania","ocaus","Australia","aus",48953
"oc","Oceania","ocfji","Fiji","fji",5463.999999999999
"oc","Oceania","ocnzl","New Zealand","nzl",152010
"sa","South America","saarg","Argentina","arg",992227493
"sa","South America","sabol","Bolivia","bol",2122136223
"sa","South America","saper","Peru","per",170